Project,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15
S103,1,3,4,3,2,1,4,5,6,6,2,5,5,5,6
S104,4,2,2,6,4,2,2,4,1,1,6,3,4,1,6
S105,4,6,4,4,1,6,3,3,2,6,4,5,3,1,1
S106,4,2,4,3,2,1,1,4,2,6,2,2,6,4,5
S107,6,5,5,2,2,3,3,4,3,4,1,6,5,6,4
S108,1,4,1,4,4,5,6,4,3,4,1,6,6,3,2
S109,6,5,5,1,3,1,6,4,3,4,3,1,3,1,3
S110,5,2,3,1,5,1,1,1,4,2,2,2,3,5,3
S111,5,2,5,3,3,6,6,3,3,2,3,3,3,6,6
S112,5,6,5,1,5,3,6,4,4,3,4,4,4,5,3
S113,2,3,3,5,3,6,3,5,1,6,4,4,4,1,6
S114,4,3,5,4,5,3,6,3,2,1,2,1,5,1,6
S115,1,1,5,6,3,6,2,3,3,5,1,1,4,5,1
S116,5,1,1,1,1,2,2,6,1,1,3,1,2,2,3
S117,2,5,1,2,2,1,3,4,4,6,4,1,1,4,6
S118,6,3,6,5,6,6,5,4,2,2,5,5,1,5,3
S119,5,5,2,2,6,3,4,3,4,2,6,2,5,1,2
S120,1,5,6,3,6,6,4,3,3,4,2,3,4,1,6
S121,5,4,4,1,1,1,4,5,3,3,4,4,3,3,4
S122,3,1,2,3,5,5,3,3,1,2,1,5,1,2,6
S123,1,4,1,5,5,2,6,3,6,3,6,6,1,4,6
S124,4,2,4,6,2,3,2,1,6,6,5,1,1,1,2
S125,2,6,5,5,1,5,3,6,3,1,1,3,1,3,1
S126,1,1,1,2,4,1,1,3,1,6,1,1,6,2,3
S127,2,5,1,4,5,3,2,6,3,5,2,5,6,1,2
S128,5,3,4,1,1,2,2,4,1,5,6,6,4,5,2
S129,3,6,1,5,6,3,5,4,6,3,5,1,5,3,3
S130,1,2,2,4,1,2,1,5,6,6,1,2,4,5,2
S131,1,4,5,3,4,1,6,6,4,1,4,6,6,3,1
S132,1,5,4,6,4,1,1,2,1,1,6,3,5,4,3
S133,2,2,1,3,4,1,5,1,4,6,5,3,2,1,6
S134,1,6,4,1,5,2,6,5,2,1,5,2,6,5,6
S135,6,2,3,4,6,3,2,4,4,1,5,1,1,1,4
S136,1,2,5,4,5,3,6,2,2,5,2,2,2,4,3
S137,3,4,5,6,5,4,4,2,2,6,2,1,5,5,3
S138,1,6,1,1,3,5,3,2,3,1,6,3,2,4,5
S139,3,3,3,6,3,1,5,2,4,1,3,5,3,6,2
S140,2,5,2,3,6,3,2,4,6,1,6,2,6,4,4
S141,4,1,5,2,5,1,4,5,1,5,6,2,2,1,6
S142,1,1,3,1,3,2,1,4,5,5,3,5,4,3,1
S143,6,5,5,2,1,3,4,3,4,2,5,4,1,5,2
S144,1,1,6,4,3,5,3,1,4,1,1,5,3,3,5
S145,5,3,2,2,2,5,3,4,1,3,5,6,4,2,1
S146,3,6,2,3,1,1,1,1,6,3,1,6,5,5,1
S147,5,2,1,2,3,3,3,1,1,2,1,6,2,4,6
S148,4,5,6,1,3,2,6,5,5,2,3,2,4,6,5
S149,5,1,5,2,3,1,1,4,1,5,3,1,4,5,2
S150,4,6,3,6,5,3,1,3,5,5,3,6,5,1,1
S151,4,1,1,1,3,5,5,5,3,4,3,2,6,5,2
S152,5,4,2,2,6,4,5,1,1,5,3,3,6,2,4
S153,6,2,4,3,5,2,5,4,1,1,6,4,2,3,1
S154,2,5,1,3,6,3,3,1,3,6,1,5,3,4,1
S155,3,3,3,6,4,4,1,1,6,6,4,6,2,4,4
S156,4,1,3,1,5,3,2,3,3,3,4,3,1,4,5
S157,5,2,5,3,4,2,1,1,6,4,3,3,3,3,1
S158,6,2,3,1,1,1,4,3,4,6,3,3,5,5,2
S159,4,4,2,2,5,3,5,2,5,4,4,5,2,2,5
S160,3,6,4,2,2,1,2,2,2,4,6,2,3,4,1
S161,3,6,2,3,4,6,5,3,3,2,1,6,1,5,3
S162,3,2,3,5,2,2,5,2,3,2,3,3,2,1,1
S163,2,2,1,2,3,6,1,1,3,6,5,6,5,6,3
S164,4,6,5,3,4,5,4,2,3,2,1,6,1,6,2
S165,4,3,5,6,4,4,6,6,4,6,3,4,6,3,4
S166,5,3,3,4,6,4,6,6,1,6,1,1,1,5,3
S167,1,1,2,5,1,2,3,4,6,6,3,4,1,2,6
S168,2,5,3,3,4,2,6,5,3,4,1,1,4,1,3
S169,1,4,4,1,3,6,2,1,5,2,3,4,3,4,3
S170,1,5,2,6,5,3,3,6,4,6,1,3,6,4,6
S171,5,6,6,5,5,4,6,2,6,3,5,2,2,4,3
S172,6,6,2,3,1,2,1,1,1,3,6,5,6,6,1
S173,5,3,1,1,2,3,5,3,1,1,1,6,2,2,6
S174,3,5,3,5,4,6,2,4,3,4,1,4,3,6,1
S175,6,1,4,5,5,4,2,4,1,2,4,2,3,6,2
S176,1,2,6,5,2,3,3,6,5,6,5,2,3,5,2
S177,5,5,5,6,5,4,5,4,5,4,6,6,6,5,4
S178,1,5,3,3,1,6,6,1,6,6,5,3,5,5,6
S179,1,6,5,3,5,3,6,2,2,2,2,6,3,3,3
S180,1,1,2,1,4,5,4,3,1,2,6,2,2,3,1
S181,2,2,1,4,3,1,4,2,6,5,1,1,6,1,5
S182,3,5,6,6,2,3,6,3,2,4,5,1,5,6,2
S183,2,6,4,4,1,5,6,2,2,5,6,2,3,2,2
S184,2,2,5,5,3,3,3,2,4,1,3,3,6,5,2
S185,1,1,3,1,5,2,2,2,4,6,1,2,1,1,5
S186,2,1,2,3,1,1,5,6,4,6,2,2,3,6,2
S187,2,5,5,4,6,5,2,5,3,2,6,3,4,4,3
S188,2,4,2,4,2,2,5,4,2,5,5,6,2,6,4
S189,5,5,1,3,5,1,6,2,3,1,3,3,6,2,1
S190,6,2,6,5,1,2,1,5,1,2,2,6,4,1,1
S191,3,5,4,2,6,4,5,3,2,6,4,4,3,5,3
S192,3,1,4,3,5,5,4,4,1,4,6,2,1,5,2
S193,4,5,2,5,3,3,1,3,2,3,6,5,5,3,3
S194,2,6,2,5,5,1,4,2,3,1,3,5,5,3,2
S195,3,5,4,1,1,4,1,1,6,2,4,3,2,3,2
S196,4,2,5,2,4,2,6,4,1,3,4,2,6,5,1
S197,6,4,2,2,2,1,3,5,2,4,2,5,1,4,6
S198,2,1,6,3,6,5,1,2,1,2,5,1,3,2,1
S199,4,1,3,6,5,2,1,3,5,6,3,5,4,4,2
S200,4,2,5,1,2,3,3,1,5,1,5,4,1,2,1
S201,4,2,4,3,6,1,4,6,6,6,1,1,5,2,6
S202,3,3,1,2,6,2,2,1,6,5,2,3,5,4,6
S203,5,2,1,6,3,3,3,1,4,5,2,3,3,6,6
S204,2,6,3,6,4,5,1,3,5,2,2,4,4,2,3
S205,6,2,6,1,4,4,4,6,4,2,5,6,6,3,5
S206,3,2,3,4,5,1,2,2,5,4,6,3,1,6,1
S207,4,6,4,5,5,6,1,4,2,4,1,2,3,2,6
S208,5,3,4,6,4,1,6,5,4,4,5,4,1,4,4
S209,6,2,5,3,5,4,4,3,6,6,6,5,2,2,2
S210,6,5,2,4,1,3,1,5,4,6,3,3,2,2,2
S211,3,4,1,4,1,1,5,2,2,1,6,4,6,5,4
S212,3,5,1,2,3,5,3,6,3,1,2,4,1,1,4
S213,2,5,4,2,1,6,2,4,4,3,6,2,2,2,4
S214,4,6,2,2,5,5,3,3,5,4,2,4,4,6,3
S215,3,1,4,4,3,4,5,2,1,2,1,2,1,3,3
S216,4,3,4,6,3,3,1,2,2,6,2,3,4,1,6
S217,1,5,5,4,4,3,1,5,2,4,4,4,6,4,6
S218,5,1,3,1,1,3,3,3,1,1,1,4,5,3,4
S219,5,5,1,4,2,4,4,2,2,5,5,5,4,5,6
S220,5,3,3,3,1,6,2,5,1,2,2,3,4,5,4
S221,5,4,5,3,3,3,6,3,2,1,5,6,3,5,1
S222,4,4,5,2,6,1,2,1,6,2,3,5,3,4,5
S223,5,3,3,3,2,2,6,6,3,5,6,5,4,2,1
S224,4,2,4,6,5,1,2,1,2,1,4,1,4,1,1
S225,1,6,3,2,4,6,3,3,3,3,1,5,5,5,1
S226,2,6,3,3,3,3,2,3,6,6,4,4,2,4,4
S227,1,4,5,1,6,2,5,6,3,1,4,1,2,5,3
S228,4,3,6,4,5,4,5,4,4,2,1,4,2,3,2
S229,2,4,6,5,6,2,2,3,6,5,6,6,6,1,3
S230,4,2,3,3,5,1,1,6,1,1,3,5,1,1,4
S231,3,3,2,3,6,4,6,4,3,6,3,3,3,2,6
S232,6,3,1,3,4,3,3,6,4,2,4,6,4,2,3
S233,1,5,6,1,3,5,2,5,1,6,6,6,2,6,3
S234,3,5,3,6,2,2,1,6,5,6,6,4,2,2,2
S235,5,4,6,1,2,6,3,2,1,6,5,1,4,2,5
S236,4,4,6,5,1,5,2,5,5,6,6,3,5,1,5
S237,3,5,5,3,6,2,3,1,2,1,4,3,6,5,4
S238,3,2,4,6,3,3,3,4,1,2,6,2,4,6,4
S239,3,6,4,5,3,6,2,1,5,4,2,2,3,1,5
S240,2,6,5,2,2,5,3,6,1,1,4,4,3,5,3
S241,2,1,6,6,3,6,3,1,1,5,3,1,3,2,3
S242,6,1,1,4,4,5,1,3,2,1,2,3,3,3,2
S243,4,5,4,6,5,5,4,5,1,5,5,6,1,1,1
S244,3,3,4,3,6,4,3,6,2,3,5,2,6,6,3
S245,2,5,6,5,3,6,2,5,5,4,5,4,1,2,3
S246,1,6,3,3,6,1,4,5,4,1,1,3,6,5,1
S247,5,5,3,1,5,2,1,4,2,1,5,2,2,1,4
S248,4,2,1,3,1,1,3,5,2,4,2,3,3,4,5
S249,1,4,4,1,3,3,3,1,6,4,5,1,2,5,1
S250,6,2,1,3,2,3,2,4,1,3,1,4,4,2,5
S251,5,5,3,1,1,4,6,6,4,1,5,4,2,6,3
S252,3,1,5,3,6,5,6,5,4,3,6,1,4,6,4
S253,4,3,3,1,6,6,6,5,5,4,6,6,6,4,5
S254,5,2,5,1,6,4,2,4,4,4,1,5,2,2,2
S255,4,1,5,6,1,3,3,4,2,6,1,4,2,5,4
S256,4,5,3,1,3,1,5,5,2,6,3,3,5,1,5
S257,5,3,4,1,6,1,5,3,4,1,3,5,2,1,1
S258,4,1,4,1,6,2,5,3,3,5,2,1,3,3,1
S259,1,4,1,2,4,5,6,6,2,3,5,5,4,2,4
S260,4,6,5,6,6,6,4,5,4,5,6,5,3,4,3
S261,1,5,2,2,5,1,1,4,3,2,2,1,5,5,6
S262,4,6,1,6,4,1,4,5,6,2,3,4,5,2,5
S263,4,6,2,4,3,2,6,3,6,3,2,4,6,5,6
S264,2,1,2,4,4,6,1,6,3,4,4,1,4,1,4
S265,4,3,6,5,4,4,2,4,3,5,5,5,5,1,2
S266,3,4,6,5,4,1,5,4,1,4,6,5,6,2,1
S267,2,5,1,6,5,2,5,5,2,3,5,1,2,3,4
S268,3,2,3,5,5,3,2,1,3,2,4,2,2,4,2
S269,3,2,5,5,6,2,1,3,4,4,1,3,5,1,4
S270,1,6,1,4,6,6,6,5,2,5,3,4,2,2,5
S271,5,5,2,2,4,4,4,1,6,3,3,1,4,2,4
S272,2,4,1,6,4,3,4,1,6,6,3,1,2,2,4
S273,3,3,5,4,2,2,6,2,5,4,3,6,4,6,5
S274,2,2,5,5,4,4,3,5,5,4,3,4,3,2,3
S275,6,4,6,6,1,2,1,2,5,2,6,6,4,3,1
S276,5,3,5,1,2,2,1,2,4,3,3,2,6,1,1
S277,2,1,3,6,3,2,5,2,2,6,2,5,1,6,2
S278,6,3,1,6,3,3,1,2,1,3,3,1,6,5,4
S279,4,6,1,1,5,5,6,6,5,1,1,5,6,3,3
S280,6,3,4,3,2,4,6,5,5,4,1,1,6,6,2
S281,5,3,2,3,4,6,5,5,3,2,4,1,3,4,1
S282,5,6,2,3,2,6,1,3,6,5,5,4,2,1,4
S283,5,1,4,6,5,4,2,5,6,4,3,5,5,1,1
S284,1,1,5,2,5,4,2,2,5,1,1,3,6,6,2
S285,6,3,2,5,4,5,5,6,1,3,1,6,3,6,5
S286,4,5,1,2,5,5,3,3,2,3,6,4,1,5,1
S287,6,5,3,5,1,2,1,6,2,2,2,5,6,4,5
S288,6,3,4,3,5,5,6,6,4,1,2,3,5,5,4
S289,3,1,4,2,4,2,3,5,2,5,2,4,2,1,3
S290,4,1,3,5,2,1,1,6,5,2,6,5,2,3,1
S291,3,3,6,3,5,4,4,4,5,6,6,6,4,5,6
S292,1,3,5,4,5,4,3,4,2,1,6,1,2,2,4
S293,1,1,4,1,3,1,2,3,1,6,2,6,3,4,3
S294,6,3,1,3,6,4,5,5,2,5,5,5,6,2,6
S295,5,4,6,2,6,6,1,2,5,1,3,6,4,3,2
S296,6,4,4,1,1,5,5,1,6,2,4,6,1,4,6
S297,4,4,1,1,2,6,1,5,3,6,6,2,2,5,3
S298,1,1,6,1,4,5,1,6,1,6,3,4,5,6,2
S299,1,2,2,1,1,2,6,2,3,1,6,4,3,5,2
S300,2,3,3,2,1,1,6,1,5,3,1,5,6,4,2
S301,3,4,3,2,1,4,3,6,5,2,2,6,3,6,5
S302,2,2,1,5,2,3,6,5,2,1,5,2,2,4,2
S303,6,3,4,4,5,2,2,5,1,5,6,2,1,4,2
S304,4,4,6,3,1,2,6,3,1,2,5,4,4,4,1
S305,6,2,6,1,1,6,5,1,3,1,5,4,6,5,3
S306,6,2,1,5,3,1,6,6,3,3,6,2,6,4,4
S307,5,1,6,4,2,5,5,4,4,5,3,6,1,6,4
S308,1,1,6,1,6,4,2,5,4,5,5,5,3,5,4
S309,6,2,4,3,2,5,6,2,3,5,4,6,4,5,5
S310,3,3,2,5,1,3,5,2,5,1,5,6,1,5,1
S311,5,5,1,4,1,2,6,6,5,4,3,6,4,2,5
S312,2,1,3,6,2,5,2,4,6,3,3,4,3,5,6
S313,6,4,6,6,4,2,4,6,5,2,1,1,5,6,1
S314,1,2,6,4,5,4,2,1,4,3,3,1,3,1,5
S315,3,2,6,3,5,2,5,3,2,3,2,2,5,5,1
S316,5,6,2,1,3,6,6,3,4,4,6,5,6,5,1
S317,3,3,3,2,6,1,1,5,3,3,6,3,4,1,1
S318,2,5,2,1,4,3,1,1,6,4,2,4,4,6,3
S319,3,5,2,1,6,1,1,1,5,2,6,3,3,2,4
S320,5,3,6,2,2,4,4,5,1,4,6,5,6,3,6
S321,2,3,6,2,6,6,1,4,1,1,4,4,5,2,6
S322,3,5,3,3,2,6,1,2,1,5,1,6,5,5,1
S323,5,5,4,4,2,1,3,1,4,2,1,4,3,4,6
S324,2,5,6,4,3,5,5,1,1,5,5,5,5,1,4
S325,2,5,5,2,4,1,6,4,6,6,4,2,2,6,1
S326,4,1,3,5,5,4,5,4,1,5,5,2,1,1,5
S327,3,1,1,2,2,1,2,3,2,2,5,3,2,5,6
S328,5,1,4,2,5,6,1,6,3,3,6,4,4,2,3
S329,1,4,4,6,6,5,1,1,6,6,1,6,2,3,1
S330,6,3,5,1,1,1,3,2,4,6,6,4,4,2,5
S331,1,4,2,1,2,4,6,6,6,2,4,1,6,6,3
S332,4,2,3,4,2,3,6,3,3,4,2,3,5,5,1
S333,6,1,1,4,5,6,2,6,5,4,2,4,5,4,2
S334,4,5,3,6,4,4,5,1,5,5,5,1,4,6,2
S335,5,6,5,5,3,5,3,5,6,1,5,3,6,3,4
S336,6,5,1,5,5,2,5,2,5,4,5,2,4,4,1
S337,1,2,3,2,5,2,2,2,4,3,6,4,6,5,4
S338,2,2,4,3,5,4,1,2,6,1,5,1,5,6,2
S339,4,1,6,5,5,1,5,2,2,1,5,4,3,2,2
S340,5,5,6,6,6,6,1,6,3,6,5,6,6,4,3
S341,5,1,4,6,5,3,5,6,4,3,1,5,2,5,1
S342,2,1,4,1,2,1,2,1,6,2,1,1,2,4,4
S343,6,6,2,5,1,4,2,5,4,3,2,1,2,3,1
S344,2,1,4,2,6,1,4,4,3,2,5,3,2,6,4
S345,3,3,6,5,1,3,5,4,4,6,6,5,5,6,4
S346,3,3,5,2,3,3,2,6,3,6,5,2,5,1,1
S347,1,3,1,5,4,5,1,4,5,6,5,4,6,1,4
S348,4,5,1,6,3,5,3,5,6,1,6,5,3,4,2
S349,1,6,4,2,1,6,1,2,1,3,3,3,4,6,3
S350,6,4,1,2,4,6,4,2,1,1,1,2,4,3,3
S351,3,2,2,1,5,3,6,4,3,1,6,1,1,5,6
S352,5,4,2,2,5,6,3,6,6,2,1,3,4,4,3
S353,4,1,4,2,5,2,3,6,3,1,3,1,3,1,5
S354,2,5,5,2,4,2,6,6,3,4,2,5,4,1,1
S355,3,4,1,6,2,1,6,5,4,2,4,4,4,3,5
S356,5,5,1,1,2,3,3,6,4,2,3,5,4,2,4
S357,3,4,1,3,2,2,2,1,6,1,1,5,1,2,3
S358,6,6,2,2,6,6,1,1,5,5,3,1,3,4,1
S359,4,2,6,4,2,3,3,6,1,1,3,5,3,6,6
S360,5,4,6,3,3,2,1,1,4,2,4,5,3,3,3
S361,2,1,2,6,6,6,6,1,3,6,2,5,3,1,6
S362,5,5,3,4,4,1,5,6,3,4,5,4,5,5,2
S363,3,2,6,6,4,6,5,6,4,1,5,1,3,5,2
S364,2,5,3,5,2,1,5,5,1,4,6,6,2,4,3
S365,5,2,1,3,4,1,5,4,6,4,3,4,4,6,4
S366,1,2,5,5,5,3,4,4,6,6,2,5,6,2,3
S367,5,2,6,2,3,6,5,2,4,4,5,4,4,6,1
S368,1,3,2,5,4,6,1,3,6,1,1,1,6,6,6
S369,5,2,4,3,2,5,2,2,4,1,2,6,6,2,6
S370,3,1,2,4,4,3,6,5,3,1,6,2,3,5,5
S371,1,2,6,3,1,2,1,3,3,2,3,6,6,6,1
S372,4,4,3,6,4,6,6,4,3,3,3,3,6,6,4
S373,1,3,3,6,4,3,6,5,2,4,5,2,6,1,5
S374,4,5,4,4,2,2,3,5,6,3,4,6,2,6,6
S375,2,5,3,6,3,1,5,5,6,6,4,3,1,1,1
S376,2,3,4,6,5,5,1,5,3,6,5,5,5,5,3
S377,4,3,2,3,2,3,5,3,2,4,4,6,5,6,3
S378,5,4,3,1,1,2,6,2,6,4,6,1,3,2,4
S379,5,2,2,3,2,6,3,6,5,6,3,5,1,4,6
S380,3,1,2,5,1,4,5,4,5,2,2,1,1,3,1
S381,1,2,5,5,1,1,5,3,5,4,4,6,4,5,5
S382,5,3,1,3,3,5,4,3,4,5,5,1,4,5,1
S383,1,4,3,2,6,2,3,6,3,2,5,6,1,6,2
S384,2,6,1,1,3,5,3,2,6,2,3,1,2,1,4
S385,4,3,2,3,3,4,3,1,6,3,6,2,5,6,5
S386,5,3,2,1,1,2,5,2,2,5,1,5,3,6,1
S387,1,2,6,6,5,1,4,6,5,1,3,1,3,4,5
S388,6,1,1,5,1,1,1,2,5,1,6,6,3,4,4
S389,3,2,1,3,5,1,1,1,4,3,4,2,1,5,2
S390,6,6,2,2,6,5,3,3,3,6,4,3,6,1,5
S391,2,6,1,1,5,3,5,1,1,5,4,5,5,1,6
S392,1,6,4,2,5,1,5,2,2,3,3,2,6,5,4
S393,2,3,4,5,4,3,1,2,6,2,5,5,4,5,2
S394,6,4,2,5,1,2,4,2,6,1,5,4,2,4,4
S395,6,3,2,3,1,4,2,3,2,6,3,5,2,5,6
S396,2,6,2,5,1,2,1,6,6,1,4,2,5,2,6
S397,4,2,6,1,1,5,2,4,5,2,4,1,3,2,5
S398,1,5,1,6,4,2,3,1,2,4,6,2,2,1,3
S399,3,4,3,5,6,2,6,4,1,5,2,4,5,4,1
